kilometraż,rodzaj zdarzenia,strona,rodzaj,liczba znaków,1 znak,2 znak,3 znak,4 znak,Stan,odl.osi,dwustronność znaku,rozmiar,mocowanie,odc. drogi,stan,Data wprowadzenia
6+625,ZNAKI PIONOWE,prawa,inne,2szt,D-1,T-6ACZET5,,,,2.8,nie,średnie,słupek,tak,,2021-05-10
6+623,ZNAKI PIONOWE,lewa,,,A-7,,,,,-11.75,nie,,słupek,tak,istniejący,2021-05-10
6+587,ZNAKI PIONOWE,lewa,inne,2szt,A-18b,T-2,,,,-2.85,nie,średnie,słupek,tak,,2021-05-10
6+537,ZNAKI PIONOWE,prawa,inne,,E-2e,,,,,2.8,nie,średnie,dwa słupki,tak,,
6+415,ZNAKI PIONOWE,prawa,inne,2szt,D-1,T-6ACZET4,,,,2.8,nie,średnie,słupek,tak,,
6+151,ZNAKI PIONOWE,lewa,inne,,A-1,,,,,-2.8,nie,średnie,słupek,tak,,
5+634,ZNAKI PIONOWE,prawa,inne,,A-2,,,,,2.8,nie,średnie,słupek,tak,,
5+523,ZNAKI PIONOWE,lewa,inne,,A-3,,,,,-2.8,nie,średnie,słupek,tak,,
4+710,ZNAKI PIONOWE,lewa,inne,,A-4,,,,,-2.8,nie,średnie,słupek,tak,,
4+704,ZNAKI PIONOWE,prawa,inne,,A-3,,,,,2.8,nie,średnie,słupek,tak,,
4+690,ZNAKI PIONOWE,lewa,,2szt,A-18a,T-2,,,,-2.75,nie,,słupek,tak,istniejący,
4+546,ZNAKI PIONOWE,lewa,,,U-12a,,,,,-2.75,nie,,słupek,tak,istniejący,2021-05-10
4+546,ZNAKI PIONOWE,prawa,,,U-12a,,,,,2.75,nie,,słupek,tak,istniejący,2021-05-10
4+497,ZNAKI PIONOWE,lewa,,,U-12a,,,,,-2.75,nie,,słupek,tak,istniejący,2021-05-10
4+497,ZNAKI PIONOWE,prawa,,,U-12a,,,,,2.75,nie,,słupek,tak,istniejący,2021-05-10
4+140,ZNAKI PIONOWE,lewa,,,U-12a,,,,,-2.75,nie,,słupek,tak,istniejący,2021-05-10
4+140,ZNAKI PIONOWE,prawa,,,U-12a,,,,,2.75,nie,,słupek,tak,istniejący,2021-05-10
4+139,ZNAKI PIONOWE,prawa,inne,,A-4,,,,,2.8,nie,średnie,słupek,tak,,
4+082,ZNAKI PIONOWE,lewa,inne,,A-3,,,,,-2.75,nie,średnie,słupek,tak,,
3+632,ZNAKI PIONOWE,prawa,inne,2szt,A-18b,T-2,,,,3.35,nie,średnie,słupek,tak,,2021-05-10
3+582,ZNAKI PIONOWE,prawa,inne,,E-13,,,,,3.2,nie,średnie,słupek,tak,,
3+580,ZNAKI PIONOWE,lewa,inne,2szt,E-17a,E-18a,,,,-3.2,tak,średnie,dwa słupki,tak,,
3+553,ZNAKI PIONOWE,lewa,inne,2szt,A-6b,T-6ACZET3,,,,-3.2,nie,średnie,słupek,tak,,
3+542,ZNAKI PIONOWE,prawa,inne,,A-3,,,,,3.2,nie,średnie,słupek,tak,,
3+528,ZNAKI PIONOWE,prawa,,,D-43,,,,,3.25,nie,,słupek,tak,istniejący,2021-05-10
3+528,ZNAKI PIONOWE,lewa,,,D-42,,,,,-3.25,nie,,słupek,tak,istniejący,2021-05-10
3+456,ZNAKI PIONOWE,lewa,,,A-7,,,,,-12.25,nie,,słupek,tak,istniejący,2021-05-10
3+329,ZNAKI PIONOWE,prawa,inne,2szt,A-6c,T-6ACZET,,,,2.8,nie,średnie,słupek,tak,,
3+240,ZNAKI PIONOWE,lewa,inne,,A-3,,,,,-2.75,nie,średnie,słupek,tak,,
3+225,ZNAKI PIONOWE,lewa,,,D-15,D-15,,,,-2.75,tak,,słupek,tak,istniejący,2021-05-10
3+151,ZNAKI PIONOWE,prawa,,,U-12a,,,,,2.75,nie,,słupek,tak,istniejący,2021-05-10
3+115,ZNAKI PIONOWE,prawa,,,A-7,,,,,11.75,nie,,słupek,tak,istniejący,2021-05-10
3+107,ZNAKI PIONOWE,prawa,,,E-4,,,,,2.75,tak,,słupek,tak,istniejący,2021-05-10
2+893,ZNAKI PIONOWE,lewa,,,D-43,,,,,-2.75,nie,,słupek,tak,istniejący,2021-05-10
