Generated by myTrafficdata,,,
SDR: Lochowicejezior,,27 lut 26 10:07:02,
Data i czas,Kierunek,Długość,Szybkość
26 lut 26 7:42:25,1,3.5 m,53 km/h
26 lut 26 7:43:05,1,4.6 m,45 km/h
26 lut 26 7:45:22,1,15.6 m,35 km/h
26 lut 26 7:45:45,1,7.2 m,43 km/h
26 lut 26 7:46:37,1,4.5 m,22 km/h
26 lut 26 7:47:02,2,4.6 m,32 km/h
26 lut 26 7:47:49,1,3.4 m,52 km/h
26 lut 26 7:48:42,1,4.3 m,59 km/h
26 lut 26 7:48:52,2,6.1 m,51 km/h
26 lut 26 7:48:58,1,10.6 m,45 km/h
26 lut 26 7:50:30,1,4.4 m,53 km/h
26 lut 26 7:55:05,1,4.9 m,50 km/h
26 lut 26 7:55:24,2,7.2 m,36 km/h
26 lut 26 7:55:32,1,4.6 m,25 km/h
26 lut 26 7:56:33,1,5.9 m,51 km/h
26 lut 26 7:57:41,1,6.8 m,44 km/h
26 lut 26 7:57:46,2,4.8 m,51 km/h
26 lut 26 7:59:08,1,3.8 m,60 km/h
26 lut 26 8:00:26,2,4.8 m,56 km/h
26 lut 26 8:00:30,2,4.5 m,61 km/h
26 lut 26 8:02:20,2,4.3 m,52 km/h
26 lut 26 8:04:51,1,4.0 m,58 km/h
26 lut 26 8:05:24,1,3.7 m,50 km/h
26 lut 26 8:07:24,2,3.6 m,54 km/h
26 lut 26 8:07:56,2,4.3 m,45 km/h
26 lut 26 8:08:00,2,4.1 m,52 km/h
26 lut 26 8:08:27,2,4.5 m,54 km/h
26 lut 26 8:10:13,1,3.8 m,60 km/h
26 lut 26 8:14:59,2,4.1 m,53 km/h
26 lut 26 8:15:20,1,4.1 m,69 km/h
26 lut 26 8:16:13,2,8.6 m,61 km/h
26 lut 26 8:18:35,1,3.9 m,49 km/h
26 lut 26 8:19:26,2,4.1 m,22 km/h
26 lut 26 8:20:19,2,18.8 m,44 km/h
26 lut 26 8:20:29,2,3.8 m,50 km/h
26 lut 26 8:20:40,2,4.9 m,51 km/h
26 lut 26 8:22:31,2,19.5 m,53 km/h
26 lut 26 8:23:41,2,6.4 m,79 km/h
26 lut 26 8:23:50,2,4.0 m,35 km/h
26 lut 26 8:23:57,2,4.7 m,86 km/h
26 lut 26 8:26:02,1,5.6 m,75 km/h
26 lut 26 8:28:08,2,4.6 m,44 km/h
26 lut 26 8:29:27,1,18.1 m,25 km/h
26 lut 26 8:30:12,1,4.6 m,63 km/h
26 lut 26 8:30:35,2,8.6 m,52 km/h
26 lut 26 8:30:48,1,3.5 m,51 km/h
26 lut 26 8:32:15,1,8.3 m,28 km/h
26 lut 26 8:32:47,1,4.6 m,61 km/h
26 lut 26 8:34:23,1,5.8 m,49 km/h
26 lut 26 8:34:41,2,4.6 m,51 km/h
26 lut 26 8:34:42,2,3.8 m,54 km/h
26 lut 26 8:35:40,1,4.3 m,57 km/h
26 lut 26 8:36:08,2,11.6 m,50 km/h
26 lut 26 8:38:34,1,4.4 m,52 km/h
26 lut 26 8:38:44,2,8.3 m,57 km/h
26 lut 26 8:41:19,2,10.3 m,59 km/h
26 lut 26 8:41:27,1,5.7 m,52 km/h
26 lut 26 8:41:48,2,3.6 m,17 km/h
26 lut 26 8:42:40,1,3.4 m,63 km/h
26 lut 26 8:42:48,2,5.1 m,57 km/h
26 lut 26 8:43:27,1,4.5 m,64 km/h
26 lut 26 8:44:27,1,3.6 m,51 km/h
26 lut 26 8:48:07,1,3.7 m,47 km/h
26 lut 26 8:48:23,1,4.9 m,63 km/h
26 lut 26 8:48:40,2,5.0 m,60 km/h
26 lut 26 8:49:46,2,3.4 m,20 km/h
26 lut 26 8:49:56,1,4.6 m,60 km/h
26 lut 26 8:52:08,2,4.3 m,57 km/h
26 lut 26 8:52:21,1,3.5 m,54 km/h
26 lut 26 8:54:18,2,5.1 m,55 km/h
26 lut 26 8:54:43,1,3.3 m,62 km/h
26 lut 26 8:54:50,1,2.9 m,37 km/h
26 lut 26 8:54:53,2,4.3 m,38 km/h
26 lut 26 8:55:46,1,3.6 m,53 km/h
26 lut 26 8:55:49,1,6.4 m,55 km/h
26 lut 26 8:56:04,1,4.5 m,41 km/h
26 lut 26 8:56:07,1,5.5 m,54 km/h
26 lut 26 8:58:53,1,4.8 m,57 km/h
26 lut 26 8:59:20,1,3.8 m,58 km/h
26 lut 26 9:00:16,1,4.9 m,62 km/h
26 lut 26 9:01:03,1,4.7 m,67 km/h
26 lut 26 9:01:12,1,4.1 m,34 km/h
26 lut 26 9:01:54,1,5.4 m,61 km/h
26 lut 26 9:02:24,2,20.0 m,54 km/h
26 lut 26 9:02:33,1,3.4 m,38 km/h
26 lut 26 9:03:00,2,6.2 m,60 km/h
26 lut 26 9:03:36,1,3.3 m,55 km/h
