Generated by myTrafficdata,,,
SDR: 1145F,,7 maj 26 12:54:56,
Data i czas,Kierunek,Długość,Szybkość
5 maj 26 8:40:19,1,5.8 m,57 km/h
5 maj 26 8:40:25,1,5.2 m,40 km/h
5 maj 26 8:41:17,2,16.5 m,42 km/h
5 maj 26 8:41:21,2,3.7 m,39 km/h
5 maj 26 8:41:23,1,2.8 m,22 km/h
5 maj 26 8:41:30,1,4.1 m,56 km/h
5 maj 26 8:42:08,2,4.0 m,40 km/h
5 maj 26 8:42:43,1,4.7 m,60 km/h
5 maj 26 8:42:51,1,6.7 m,61 km/h
5 maj 26 8:43:10,2,4.6 m,52 km/h
5 maj 26 8:43:43,2,4.1 m,38 km/h
5 maj 26 8:45:02,2,6.5 m,28 km/h
5 maj 26 8:45:38,2,4.5 m,34 km/h
5 maj 26 8:45:59,1,3.2 m,60 km/h
5 maj 26 8:46:16,2,4.5 m,68 km/h
5 maj 26 8:48:46,1,4.4 m,37 km/h
5 maj 26 8:48:57,1,3.9 m,49 km/h
5 maj 26 8:49:49,1,4.5 m,28 km/h
5 maj 26 8:52:07,2,4.7 m,21 km/h
5 maj 26 8:52:27,1,5.8 m,56 km/h
5 maj 26 8:53:11,1,4.5 m,31 km/h
5 maj 26 8:54:22,2,3.6 m,61 km/h
5 maj 26 8:54:51,2,4.7 m,23 km/h
5 maj 26 8:56:39,1,3.6 m,65 km/h
5 maj 26 8:58:44,2,7.0 m,69 km/h
5 maj 26 8:58:57,1,6.0 m,42 km/h
5 maj 26 8:59:05,1,4.4 m,45 km/h
5 maj 26 8:59:36,1,3.7 m,37 km/h
5 maj 26 8:59:42,1,3.9 m,44 km/h
5 maj 26 8:59:54,1,3.6 m,55 km/h
5 maj 26 9:00:13,2,4.1 m,69 km/h
5 maj 26 9:03:17,1,18.1 m,54 km/h
5 maj 26 9:03:32,1,4.9 m,70 km/h
5 maj 26 9:04:21,1,3.1 m,54 km/h
5 maj 26 9:05:24,2,5.6 m,45 km/h
5 maj 26 9:06:33,2,4.9 m,57 km/h
5 maj 26 9:09:15,1,5.1 m,58 km/h
5 maj 26 9:09:57,1,3.7 m,42 km/h
5 maj 26 9:10:04,1,4.7 m,60 km/h
5 maj 26 9:10:25,1,6.1 m,71 km/h
5 maj 26 9:11:08,1,3.4 m,50 km/h
5 maj 26 9:13:40,1,3.1 m,47 km/h
5 maj 26 9:13:43,2,4.6 m,54 km/h
5 maj 26 9:15:55,2,8.4 m,51 km/h
5 maj 26 9:18:18,1,3.6 m,65 km/h
5 maj 26 9:19:04,1,4.0 m,61 km/h
5 maj 26 9:19:41,2,4.2 m,62 km/h
5 maj 26 9:21:19,1,4.5 m,58 km/h
5 maj 26 9:23:24,2,4.2 m,53 km/h
5 maj 26 9:23:57,2,4.1 m,48 km/h
5 maj 26 9:24:14,2,4.0 m,47 km/h
5 maj 26 9:24:25,1,17.4 m,32 km/h
5 maj 26 9:24:39,2,4.9 m,41 km/h
5 maj 26 9:25:27,1,4.4 m,49 km/h
5 maj 26 9:26:02,1,5.4 m,59 km/h
5 maj 26 9:28:04,1,4.2 m,40 km/h
5 maj 26 9:29:02,1,2.9 m,34 km/h
5 maj 26 9:29:15,1,3.7 m,52 km/h
5 maj 26 9:29:41,1,9.8 m,65 km/h
5 maj 26 9:30:14,2,6.5 m,41 km/h
5 maj 26 9:30:17,1,4.1 m,51 km/h
5 maj 26 9:34:42,1,8.2 m,55 km/h
5 maj 26 9:36:20,1,4.5 m,52 km/h
5 maj 26 9:38:08,2,5.0 m,58 km/h
5 maj 26 9:39:06,2,3.9 m,82 km/h
5 maj 26 9:40:15,2,2.7 m,59 km/h
5 maj 26 9:41:02,2,2.5 m,75 km/h
5 maj 26 9:41:45,2,3.2 m,74 km/h
5 maj 26 9:43:10,1,3.6 m,39 km/h
5 maj 26 9:43:22,2,4.5 m,42 km/h
5 maj 26 9:44:28,2,4.5 m,35 km/h
5 maj 26 9:44:30,1,3.3 m,63 km/h
5 maj 26 9:45:19,2,5.2 m,50 km/h
5 maj 26 9:45:50,2,3.6 m,37 km/h
5 maj 26 9:47:29,1,4.1 m,40 km/h
5 maj 26 9:49:30,2,4.2 m,54 km/h
5 maj 26 9:50:57,2,3.7 m,68 km/h
5 maj 26 9:51:22,2,6.7 m,41 km/h
5 maj 26 9:51:25,2,9.5 m,41 km/h
5 maj 26 9:52:22,2,3.6 m,44 km/h
5 maj 26 9:53:47,2,5.8 m,40 km/h
5 maj 26 9:53:50,2,5.2 m,30 km/h
5 maj 26 9:54:02,1,4.6 m,53 km/h
5 maj 26 9:56:41,1,3.6 m,41 km/h
5 maj 26 9:58:19,1,4.7 m,67 km/h
5 maj 26 9:59:00,1,4.2 m,43 km/h
5 maj 26 9:59:49,1,4.3 m,62 km/h
5 maj 26 10:00:11,1,3.2 m,53 km/h
5 maj 26 10:00:21,1,3.7 m,41 km/h
5 maj 26 10:02:08,1,6.2 m,52 km/h
5 maj 26 10:02:13,2,5.0 m,50 km/h
5 maj 26 10:02:18,1,3.9 m,61 km/h
5 maj 26 10:03:12,2,3.5 m,33 km/h
5 maj 26 10:03:17,2,4.7 m,37 km/h
5 maj 26 10:03:25,2,16.6 m,20 km/h
5 maj 26 10:06:15,2,3.6 m,71 km/h
5 maj 26 10:08:21,2,6.2 m,44 km/h
5 maj 26 10:08:39,1,8.3 m,38 km/h
5 maj 26 10:10:34,1,4.4 m,57 km/h
5 maj 26 10:10:34,1,4.8 m,57 km/h
5 maj 26 10:11:29,1,3.5 m,59 km/h
5 maj 26 10:12:37,2,5.1 m,50 km/h
5 maj 26 10:12:56,2,6.9 m,64 km/h
5 maj 26 10:13:43,1,4.4 m,45 km/h
5 maj 26 10:13:51,1,4.1 m,43 km/h
5 maj 26 10:14:14,1,4.3 m,61 km/h
5 maj 26 10:14:50,1,9.8 m,49 km/h
5 maj 26 10:15:25,1,3.1 m,59 km/h
5 maj 26 10:15:34,1,3.7 m,53 km/h
5 maj 26 10:17:01,1,4.2 m,67 km/h
5 maj 26 10:18:23,2,4.9 m,45 km/h
5 maj 26 10:18:24,1,3.7 m,53 km/h
5 maj 26 10:19:24,1,3.9 m,62 km/h
5 maj 26 10:20:58,1,4.8 m,32 km/h
5 maj 26 10:21:51,2,4.8 m,47 km/h
5 maj 26 10:23:50,1,3.8 m,44 km/h
5 maj 26 10:25:22,1,5.6 m,51 km/h
5 maj 26 10:25:29,1,3.8 m,44 km/h
5 maj 26 10:26:06,2,6.1 m,63 km/h
5 maj 26 10:26:45,2,6.4 m,62 km/h
5 maj 26 10:27:10,2,4.0 m,39 km/h
5 maj 26 10:27:29,1,10.4 m,64 km/h
5 maj 26 10:27:36,1,4.3 m,74 km/h
5 maj 26 10:27:40,2,4.8 m,71 km/h
5 maj 26 10:28:16,1,3.3 m,50 km/h
5 maj 26 10:28:55,2,4.0 m,48 km/h
5 maj 26 10:28:55,1,6.3 m,57 km/h
5 maj 26 10:31:52,2,4.8 m,75 km/h
5 maj 26 10:32:05,1,8.2 m,53 km/h
5 maj 26 10:33:40,1,17.8 m,42 km/h
5 maj 26 10:34:08,1,4.4 m,77 km/h
5 maj 26 10:34:18,1,4.2 m,66 km/h
5 maj 26 10:36:06,1,4.4 m,32 km/h
5 maj 26 10:36:32,2,5.0 m,76 km/h
5 maj 26 10:36:41,2,4.6 m,57 km/h
5 maj 26 10:39:04,1,5.3 m,26 km/h
5 maj 26 10:39:17,2,5.1 m,44 km/h
5 maj 26 10:42:08,1,4.7 m,57 km/h
5 maj 26 10:42:15,2,7.1 m,59 km/h
5 maj 26 10:44:12,1,3.8 m,58 km/h
5 maj 26 10:44:39,2,12.7 m,68 km/h
5 maj 26 10:44:43,1,4.8 m,42 km/h
5 maj 26 10:45:12,2,5.7 m,72 km/h
5 maj 26 10:47:03,1,4.3 m,32 km/h
5 maj 26 10:47:18,1,4.8 m,63 km/h
5 maj 26 10:47:59,2,4.4 m,22 km/h
5 maj 26 10:48:26,1,7.6 m,65 km/h
5 maj 26 10:50:42,2,4.1 m,45 km/h
5 maj 26 10:51:07,2,6.8 m,60 km/h
5 maj 26 10:52:29,2,4.6 m,71 km/h
5 maj 26 10:53:49,2,6.9 m,61 km/h
5 maj 26 10:55:13,1,5.5 m,48 km/h
5 maj 26 10:55:17,1,3.4 m,53 km/h
5 maj 26 10:56:01,2,3.9 m,49 km/h
5 maj 26 10:56:59,1,4.3 m,44 km/h
5 maj 26 10:57:10,1,3.3 m,55 km/h
5 maj 26 10:57:25,1,5.6 m,59 km/h
5 maj 26 10:59:28,2,4.6 m,50 km/h
5 maj 26 10:59:44,2,4.0 m,76 km/h
5 maj 26 11:00:10,1,6.9 m,48 km/h
5 maj 26 11:02:01,1,3.4 m,48 km/h
5 maj 26 11:02:03,2,4.7 m,37 km/h
5 maj 26 11:02:06,2,4.7 m,57 km/h
5 maj 26 11:02:56,1,5.7 m,44 km/h
5 maj 26 11:03:18,1,4.3 m,45 km/h
5 maj 26 11:05:41,2,4.8 m,62 km/h
5 maj 26 11:05:47,2,6.0 m,57 km/h
5 maj 26 11:05:57,1,3.4 m,38 km/h
5 maj 26 11:09:40,2,7.6 m,63 km/h
5 maj 26 11:10:36,1,3.5 m,69 km/h
5 maj 26 11:10:36,1,0.6 m,65 km/h
5 maj 26 11:12:05,2,6.6 m,70 km/h
5 maj 26 11:13:40,1,3.6 m,56 km/h
5 maj 26 11:16:04,2,4.5 m,49 km/h
5 maj 26 11:16:35,2,4.4 m,54 km/h
5 maj 26 11:18:04,2,4.3 m,54 km/h
5 maj 26 11:19:10,1,5.4 m,49 km/h
5 maj 26 11:19:43,1,5.1 m,58 km/h
5 maj 26 11:20:06,1,4.3 m,49 km/h
5 maj 26 11:20:55,1,4.1 m,53 km/h
5 maj 26 11:21:06,1,2.3 m,51 km/h
5 maj 26 11:21:22,1,5.4 m,54 km/h
5 maj 26 11:22:11,1,4.8 m,53 km/h
5 maj 26 11:22:37,1,4.6 m,44 km/h
5 maj 26 11:27:03,1,7.4 m,48 km/h
5 maj 26 11:27:10,1,3.9 m,69 km/h
5 maj 26 11:28:18,2,4.2 m,44 km/h
5 maj 26 11:29:54,1,4.3 m,61 km/h
5 maj 26 11:30:36,2,3.8 m,25 km/h
5 maj 26 11:30:49,1,2.0 m,13 km/h
5 maj 26 11:31:21,2,1.2 m,60 km/h
5 maj 26 11:31:22,2,3.9 m,58 km/h
5 maj 26 11:31:28,1,8.0 m,59 km/h
5 maj 26 11:31:37,2,4.9 m,44 km/h
5 maj 26 11:32:23,1,4.3 m,71 km/h
5 maj 26 11:35:10,1,4.2 m,54 km/h
5 maj 26 11:36:04,2,4.3 m,54 km/h
5 maj 26 11:38:42,1,4.0 m,57 km/h
5 maj 26 11:39:06,2,4.3 m,68 km/h
5 maj 26 11:41:41,2,4.1 m,39 km/h
5 maj 26 11:42:21,1,5.8 m,52 km/h
5 maj 26 11:43:12,2,4.2 m,57 km/h
5 maj 26 11:45:37,1,4.0 m,61 km/h
5 maj 26 11:47:35,2,4.7 m,59 km/h
5 maj 26 11:47:43,2,3.8 m,69 km/h
5 maj 26 11:48:11,2,4.1 m,48 km/h
5 maj 26 11:48:46,2,2.7 m,49 km/h
5 maj 26 11:50:32,1,1.8 m,22 km/h
5 maj 26 11:51:05,1,4.1 m,40 km/h
5 maj 26 11:51:27,2,4.4 m,31 km/h
5 maj 26 11:53:19,1,5.0 m,54 km/h
5 maj 26 11:56:51,2,4.8 m,57 km/h
5 maj 26 11:59:49,2,4.4 m,59 km/h
5 maj 26 12:00:48,1,4.1 m,48 km/h
5 maj 26 12:01:51,2,3.6 m,47 km/h
5 maj 26 12:02:49,1,4.2 m,52 km/h
5 maj 26 12:04:57,2,5.5 m,18 km/h
5 maj 26 12:06:47,1,3.9 m,44 km/h
5 maj 26 12:06:55,2,5.7 m,49 km/h
5 maj 26 12:07:15,2,4.9 m,38 km/h
5 maj 26 12:07:33,2,6.8 m,58 km/h
5 maj 26 12:07:38,1,4.3 m,55 km/h
5 maj 26 12:08:08,2,4.7 m,46 km/h
5 maj 26 12:08:11,1,3.5 m,61 km/h
5 maj 26 12:09:32,2,4.5 m,58 km/h
5 maj 26 12:09:48,2,4.8 m,62 km/h
5 maj 26 12:10:53,2,3.3 m,60 km/h
5 maj 26 12:13:05,1,7.1 m,69 km/h
5 maj 26 12:13:35,2,6.2 m,67 km/h
5 maj 26 12:13:48,2,4.7 m,76 km/h
5 maj 26 12:16:04,2,5.2 m,50 km/h
5 maj 26 12:16:12,1,3.7 m,54 km/h
5 maj 26 12:17:51,2,4.1 m,49 km/h
5 maj 26 12:18:05,2,3.9 m,52 km/h
5 maj 26 12:19:00,2,4.3 m,48 km/h
5 maj 26 12:20:15,2,3.3 m,53 km/h
5 maj 26 12:20:42,1,4.4 m,47 km/h
5 maj 26 12:23:02,1,8.4 m,25 km/h
5 maj 26 12:23:31,1,4.2 m,40 km/h
5 maj 26 12:23:52,2,7.0 m,32 km/h
5 maj 26 12:24:59,2,4.8 m,49 km/h
5 maj 26 12:25:01,1,4.4 m,29 km/h
5 maj 26 12:26:05,2,5.7 m,58 km/h
5 maj 26 12:26:16,1,3.5 m,45 km/h
5 maj 26 12:26:20,2,5.7 m,69 km/h
5 maj 26 12:29:16,2,4.8 m,49 km/h
5 maj 26 12:32:28,1,4.0 m,63 km/h
5 maj 26 12:32:42,2,4.6 m,62 km/h
5 maj 26 12:33:16,1,3.4 m,48 km/h
5 maj 26 12:34:44,1,3.9 m,50 km/h
5 maj 26 12:35:14,1,6.5 m,61 km/h
5 maj 26 12:36:26,1,4.1 m,54 km/h
5 maj 26 12:37:36,1,8.6 m,28 km/h
5 maj 26 12:38:15,2,3.3 m,37 km/h
5 maj 26 12:38:54,2,5.2 m,57 km/h
5 maj 26 12:39:15,2,5.1 m,54 km/h
5 maj 26 12:39:18,1,3.7 m,49 km/h
5 maj 26 12:42:58,1,5.2 m,42 km/h
5 maj 26 12:43:00,2,7.7 m,55 km/h
5 maj 26 12:43:35,1,4.7 m,53 km/h
5 maj 26 12:43:48,1,3.9 m,47 km/h
5 maj 26 12:44:20,2,4.5 m,83 km/h
5 maj 26 12:45:04,1,4.2 m,72 km/h
5 maj 26 12:45:32,1,3.8 m,31 km/h
5 maj 26 12:45:33,2,5.4 m,77 km/h
5 maj 26 12:46:01,1,7.7 m,54 km/h
5 maj 26 12:46:08,2,5.3 m,44 km/h
5 maj 26 12:46:24,1,4.6 m,44 km/h
5 maj 26 12:46:53,1,7.2 m,69 km/h
5 maj 26 12:47:01,2,4.4 m,57 km/h
5 maj 26 12:47:26,2,4.5 m,68 km/h
5 maj 26 12:48:48,1,3.5 m,58 km/h
5 maj 26 12:49:07,2,4.8 m,66 km/h
5 maj 26 12:49:52,2,3.9 m,52 km/h
5 maj 26 12:50:59,2,6.7 m,57 km/h
5 maj 26 12:51:18,2,7.7 m,38 km/h
5 maj 26 12:51:25,1,5.1 m,70 km/h
5 maj 26 12:52:20,1,4.5 m,51 km/h
5 maj 26 12:52:22,1,3.8 m,51 km/h
5 maj 26 12:55:36,2,4.7 m,62 km/h
5 maj 26 12:55:56,1,4.0 m,45 km/h
5 maj 26 12:56:28,2,4.5 m,48 km/h
5 maj 26 12:58:36,2,3.9 m,57 km/h
5 maj 26 12:58:38,2,4.2 m,63 km/h
5 maj 26 12:59:26,2,2.9 m,64 km/h
5 maj 26 12:59:38,1,3.5 m,40 km/h
5 maj 26 13:02:33,1,4.1 m,58 km/h
5 maj 26 13:03:22,1,7.9 m,58 km/h
5 maj 26 13:04:29,1,4.7 m,73 km/h
5 maj 26 13:05:43,2,4.7 m,66 km/h
5 maj 26 13:05:59,2,4.0 m,41 km/h
5 maj 26 13:06:09,2,5.3 m,53 km/h
5 maj 26 13:06:13,2,4.7 m,52 km/h
5 maj 26 13:06:37,2,6.3 m,40 km/h
5 maj 26 13:07:20,2,4.4 m,71 km/h
5 maj 26 13:08:36,1,8.0 m,51 km/h
