Generated by myTrafficdata,,,
SDR: 1145FSarbia,,8 maj 26 13:03:42,
Data i czas,Kierunek,Długość,Szybkość
7 maj 26 11:33:20,1,4.3 m,9 km/h
7 maj 26 11:36:36,1,4.9 m,38 km/h
7 maj 26 11:43:04,1,4.2 m,44 km/h
7 maj 26 11:44:31,2,4.4 m,49 km/h
7 maj 26 11:47:33,2,6.4 m,76 km/h
7 maj 26 11:49:31,1,4.6 m,57 km/h
7 maj 26 11:49:49,1,4.2 m,48 km/h
7 maj 26 11:57:42,1,4.1 m,36 km/h
7 maj 26 12:00:34,2,3.1 m,51 km/h
7 maj 26 12:01:03,2,6.6 m,55 km/h
7 maj 26 12:03:15,2,3.5 m,55 km/h
7 maj 26 12:04:25,2,5.0 m,53 km/h
7 maj 26 12:05:08,2,3.8 m,49 km/h
7 maj 26 12:11:45,1,6.6 m,65 km/h
7 maj 26 12:14:26,2,4.2 m,42 km/h
7 maj 26 12:16:56,2,5.0 m,26 km/h
7 maj 26 12:17:39,1,7.0 m,52 km/h
7 maj 26 12:20:30,2,2.9 m,58 km/h
7 maj 26 12:22:57,2,4.1 m,53 km/h
7 maj 26 12:24:06,1,4.7 m,58 km/h
7 maj 26 12:24:27,1,4.8 m,42 km/h
7 maj 26 12:27:26,2,4.4 m,53 km/h
7 maj 26 12:27:43,2,3.5 m,49 km/h
7 maj 26 12:28:41,1,4.3 m,50 km/h
7 maj 26 12:34:49,2,4.4 m,53 km/h
7 maj 26 12:35:45,2,4.6 m,57 km/h
7 maj 26 12:36:28,2,3.8 m,48 km/h
7 maj 26 12:36:39,1,4.8 m,40 km/h
7 maj 26 12:37:56,1,1.1 m,25 km/h
7 maj 26 12:38:44,1,4.2 m,48 km/h
7 maj 26 12:39:06,1,1.2 m,21 km/h
7 maj 26 12:39:13,2,3.6 m,48 km/h
7 maj 26 12:44:15,2,4.2 m,43 km/h
7 maj 26 12:45:51,2,4.7 m,59 km/h
7 maj 26 12:45:52,1,4.4 m,51 km/h
7 maj 26 12:54:44,1,4.4 m,38 km/h
7 maj 26 12:56:18,2,4.6 m,55 km/h
7 maj 26 12:56:21,2,3.2 m,51 km/h
7 maj 26 12:57:24,1,13.1 m,47 km/h
7 maj 26 12:57:24,1,1.5 m,45 km/h
7 maj 26 12:57:58,2,6.1 m,60 km/h
7 maj 26 12:58:06,2,4.8 m,53 km/h
7 maj 26 12:58:07,2,3.8 m,49 km/h
7 maj 26 13:05:44,1,4.2 m,49 km/h
7 maj 26 13:07:13,2,4.3 m,40 km/h
7 maj 26 13:07:37,1,5.7 m,48 km/h
7 maj 26 13:08:08,2,11.7 m,53 km/h
7 maj 26 13:08:11,2,4.9 m,50 km/h
7 maj 26 13:10:04,1,4.0 m,29 km/h
7 maj 26 13:11:38,1,4.3 m,44 km/h
7 maj 26 13:11:44,1,4.1 m,36 km/h
7 maj 26 13:12:06,1,4.1 m,45 km/h
7 maj 26 13:12:36,1,2.9 m,50 km/h
7 maj 26 13:12:44,1,5.1 m,53 km/h
7 maj 26 13:12:46,1,4.1 m,52 km/h
7 maj 26 13:13:34,2,4.4 m,64 km/h
7 maj 26 13:13:56,1,4.5 m,41 km/h
7 maj 26 13:14:28,2,4.6 m,51 km/h
7 maj 26 13:16:54,1,5.1 m,41 km/h
7 maj 26 13:19:26,2,3.7 m,22 km/h
7 maj 26 13:23:36,1,4.1 m,38 km/h
7 maj 26 13:24:00,2,4.8 m,48 km/h
7 maj 26 13:29:08,1,3.3 m,51 km/h
7 maj 26 13:29:18,1,4.4 m,51 km/h
7 maj 26 13:30:05,2,3.4 m,50 km/h
7 maj 26 13:34:35,2,5.4 m,49 km/h
7 maj 26 13:34:36,2,5.0 m,51 km/h
7 maj 26 13:35:35,2,4.1 m,58 km/h
7 maj 26 13:39:03,1,4.9 m,47 km/h
7 maj 26 13:39:09,1,4.7 m,39 km/h
7 maj 26 13:44:11,1,13.2 m,45 km/h
7 maj 26 13:45:23,1,15.5 m,46 km/h
7 maj 26 13:47:04,2,3.4 m,45 km/h
7 maj 26 13:52:34,2,4.1 m,45 km/h
7 maj 26 13:52:56,1,5.6 m,72 km/h
7 maj 26 13:56:48,1,4.5 m,46 km/h
7 maj 26 13:56:50,1,4.2 m,49 km/h
7 maj 26 13:58:05,2,4.4 m,38 km/h
7 maj 26 13:59:15,2,4.6 m,59 km/h
7 maj 26 13:59:39,1,7.5 m,47 km/h
7 maj 26 14:00:37,1,4.5 m,37 km/h
7 maj 26 14:01:08,2,4.3 m,33 km/h
7 maj 26 14:01:10,2,4.9 m,44 km/h
7 maj 26 14:03:33,1,6.8 m,38 km/h
7 maj 26 14:04:34,2,5.0 m,64 km/h
7 maj 26 14:04:49,2,4.4 m,50 km/h
7 maj 26 14:08:35,2,6.2 m,30 km/h
7 maj 26 14:11:43,2,3.8 m,58 km/h
7 maj 26 14:13:43,2,4.3 m,37 km/h
7 maj 26 14:13:56,2,4.7 m,59 km/h
7 maj 26 14:14:32,2,5.2 m,45 km/h
7 maj 26 14:15:34,1,5.0 m,51 km/h
7 maj 26 14:16:26,2,3.8 m,57 km/h
7 maj 26 14:18:24,2,4.6 m,53 km/h
7 maj 26 14:19:25,2,3.2 m,56 km/h
7 maj 26 14:19:26,2,5.7 m,61 km/h
7 maj 26 14:20:19,2,4.1 m,55 km/h
7 maj 26 14:20:21,2,3.6 m,63 km/h
7 maj 26 14:22:56,1,6.6 m,48 km/h
7 maj 26 14:23:22,2,4.2 m,56 km/h
7 maj 26 14:23:59,1,4.9 m,47 km/h
7 maj 26 14:24:44,1,4.9 m,42 km/h
7 maj 26 14:27:02,1,6.3 m,38 km/h
7 maj 26 14:28:38,2,0.8 m,18 km/h
7 maj 26 14:30:18,1,4.6 m,53 km/h
7 maj 26 14:33:33,1,4.2 m,59 km/h
7 maj 26 14:33:37,1,4.4 m,57 km/h
7 maj 26 14:33:57,2,4.0 m,48 km/h
7 maj 26 14:37:31,2,14.0 m,46 km/h
7 maj 26 14:39:20,2,3.7 m,51 km/h
7 maj 26 14:40:45,2,4.4 m,60 km/h
7 maj 26 14:42:33,1,4.3 m,44 km/h
7 maj 26 14:42:52,1,3.9 m,64 km/h
7 maj 26 14:45:37,2,16.2 m,40 km/h
7 maj 26 14:48:58,1,4.4 m,46 km/h
7 maj 26 14:50:28,1,4.3 m,63 km/h
7 maj 26 14:50:32,1,6.1 m,60 km/h
7 maj 26 14:50:52,1,14.5 m,52 km/h
7 maj 26 14:55:27,2,13.2 m,44 km/h
7 maj 26 14:56:32,2,6.5 m,48 km/h
7 maj 26 14:58:56,1,6.2 m,63 km/h
7 maj 26 14:59:10,1,4.7 m,43 km/h
7 maj 26 15:00:28,2,4.6 m,55 km/h
7 maj 26 15:00:31,2,4.1 m,52 km/h
7 maj 26 15:02:43,1,7.6 m,52 km/h
7 maj 26 15:03:01,2,4.7 m,58 km/h
7 maj 26 15:03:48,2,3.2 m,50 km/h
7 maj 26 15:06:37,2,4.8 m,56 km/h
7 maj 26 15:06:38,1,3.9 m,60 km/h
7 maj 26 15:08:04,1,4.1 m,36 km/h
7 maj 26 15:08:37,1,5.9 m,32 km/h
7 maj 26 15:10:55,2,4.0 m,65 km/h
7 maj 26 15:11:30,1,4.1 m,31 km/h
7 maj 26 15:12:55,2,3.7 m,54 km/h
7 maj 26 15:13:10,1,4.3 m,26 km/h
7 maj 26 15:13:13,2,3.4 m,61 km/h
7 maj 26 15:13:55,2,6.8 m,37 km/h
