Generated by myTrafficdata,,,
SDR: 1147F,,16 kwi 26 10:19:26,
Data i czas,Kierunek,Długość,Szybkość
15 kwi 26 8:40:30,2,2.6 m,5 km/h
15 kwi 26 8:40:48,1,4.5 m,58 km/h
15 kwi 26 8:41:04,2,4.3 m,32 km/h
15 kwi 26 8:45:50,2,4.7 m,26 km/h
15 kwi 26 8:54:47,1,8.4 m,64 km/h
15 kwi 26 8:57:14,1,5.0 m,77 km/h
15 kwi 26 9:04:36,2,6.2 m,56 km/h
15 kwi 26 9:04:38,1,3.7 m,52 km/h
15 kwi 26 9:06:51,2,4.7 m,75 km/h
15 kwi 26 9:08:23,1,4.5 m,46 km/h
15 kwi 26 9:09:41,2,6.1 m,56 km/h
15 kwi 26 9:11:46,1,4.2 m,61 km/h
15 kwi 26 9:12:40,1,4.9 m,66 km/h
15 kwi 26 9:12:40,1,3.3 m,66 km/h
15 kwi 26 9:17:49,1,4.6 m,73 km/h
15 kwi 26 9:19:40,2,4.7 m,77 km/h
15 kwi 26 9:19:58,1,3.7 m,71 km/h
15 kwi 26 9:21:00,1,4.2 m,77 km/h
15 kwi 26 9:21:05,1,4.2 m,58 km/h
15 kwi 26 9:21:53,2,4.4 m,76 km/h
15 kwi 26 9:25:18,1,4.8 m,67 km/h
15 kwi 26 9:29:08,2,4.3 m,78 km/h
15 kwi 26 9:33:02,2,0.8 m,31 km/h
15 kwi 26 9:37:19,2,3.9 m,73 km/h
15 kwi 26 9:46:01,1,4.6 m,80 km/h
15 kwi 26 9:46:40,2,5.0 m,50 km/h
15 kwi 26 9:47:30,1,4.4 m,86 km/h
15 kwi 26 9:51:26,1,8.4 m,79 km/h
15 kwi 26 10:01:19,2,5.5 m,64 km/h
15 kwi 26 10:05:00,1,4.8 m,78 km/h
15 kwi 26 10:05:52,2,3.7 m,68 km/h
15 kwi 26 10:06:50,1,0.7 m,35 km/h
15 kwi 26 10:07:44,2,6.2 m,60 km/h
15 kwi 26 10:10:54,2,4.9 m,102 km/h
15 kwi 26 10:12:35,1,3.9 m,74 km/h
15 kwi 26 10:12:55,2,5.2 m,83 km/h
15 kwi 26 10:21:40,1,4.9 m,72 km/h
15 kwi 26 10:24:01,1,3.8 m,74 km/h
15 kwi 26 10:25:43,2,4.2 m,82 km/h
15 kwi 26 10:26:04,1,6.5 m,78 km/h
15 kwi 26 10:26:20,1,3.9 m,76 km/h
15 kwi 26 10:28:25,1,7.2 m,61 km/h
15 kwi 26 10:33:44,1,4.4 m,83 km/h
15 kwi 26 10:36:17,1,5.5 m,37 km/h
15 kwi 26 10:40:08,2,4.0 m,64 km/h
15 kwi 26 10:48:36,2,7.8 m,76 km/h
15 kwi 26 10:49:25,1,5.8 m,25 km/h
15 kwi 26 10:51:42,2,5.4 m,86 km/h
15 kwi 26 10:55:55,1,3.9 m,45 km/h
15 kwi 26 10:55:59,2,4.5 m,55 km/h
15 kwi 26 10:56:35,2,5.6 m,70 km/h
15 kwi 26 11:03:41,1,4.7 m,57 km/h
15 kwi 26 11:04:54,2,4.0 m,86 km/h
15 kwi 26 11:10:05,2,3.8 m,67 km/h
15 kwi 26 11:15:19,2,4.1 m,62 km/h
15 kwi 26 11:16:00,1,5.0 m,68 km/h
15 kwi 26 11:17:00,1,6.9 m,73 km/h
15 kwi 26 11:18:51,1,6.9 m,88 km/h
15 kwi 26 11:19:30,1,4.5 m,59 km/h
15 kwi 26 11:29:26,1,6.5 m,53 km/h
15 kwi 26 11:29:30,2,5.5 m,52 km/h
15 kwi 26 11:31:00,2,4.9 m,80 km/h
15 kwi 26 11:31:10,1,5.2 m,66 km/h
15 kwi 26 11:31:58,2,6.2 m,54 km/h
15 kwi 26 11:37:02,2,4.9 m,25 km/h
15 kwi 26 11:39:53,1,4.5 m,97 km/h
15 kwi 26 11:40:37,2,4.2 m,57 km/h
15 kwi 26 11:41:19,2,4.7 m,61 km/h
15 kwi 26 11:42:10,1,10.8 m,70 km/h
15 kwi 26 11:42:13,1,7.4 m,57 km/h
15 kwi 26 11:54:34,1,4.0 m,77 km/h
15 kwi 26 11:55:58,1,4.2 m,50 km/h
15 kwi 26 11:56:56,2,10.8 m,56 km/h
15 kwi 26 11:57:05,1,3.8 m,58 km/h
15 kwi 26 12:02:51,2,4.4 m,73 km/h
15 kwi 26 12:06:21,2,5.1 m,101 km/h
15 kwi 26 12:13:54,2,3.9 m,78 km/h
15 kwi 26 12:14:49,1,3.9 m,69 km/h
15 kwi 26 12:16:50,1,4.8 m,79 km/h
15 kwi 26 12:23:52,1,7.3 m,97 km/h
15 kwi 26 12:28:31,2,4.5 m,79 km/h
15 kwi 26 12:31:17,2,7.4 m,74 km/h
15 kwi 26 12:31:54,1,4.2 m,82 km/h
15 kwi 26 12:37:07,1,5.5 m,90 km/h
15 kwi 26 12:39:55,2,7.9 m,83 km/h
15 kwi 26 12:40:37,1,3.5 m,67 km/h
15 kwi 26 12:41:53,2,4.2 m,53 km/h
15 kwi 26 12:43:04,2,4.4 m,69 km/h
15 kwi 26 12:44:11,2,4.5 m,75 km/h
15 kwi 26 12:45:51,1,4.3 m,62 km/h
15 kwi 26 12:46:56,2,4.8 m,70 km/h
15 kwi 26 12:48:29,1,5.5 m,72 km/h
15 kwi 26 12:52:46,1,4.3 m,76 km/h
15 kwi 26 12:53:48,1,4.4 m,72 km/h
15 kwi 26 12:58:48,1,4.5 m,89 km/h
15 kwi 26 13:02:52,2,4.8 m,28 km/h
15 kwi 26 13:02:57,1,5.1 m,47 km/h
15 kwi 26 13:04:51,2,4.6 m,77 km/h
15 kwi 26 13:08:37,2,4.4 m,49 km/h
15 kwi 26 13:09:01,2,5.2 m,50 km/h
15 kwi 26 13:09:39,1,4.2 m,59 km/h
15 kwi 26 13:15:08,2,4.6 m,119 km/h
15 kwi 26 13:18:47,2,4.2 m,99 km/h
15 kwi 26 13:20:17,1,3.4 m,78 km/h
15 kwi 26 13:23:21,2,4.4 m,54 km/h
15 kwi 26 13:24:30,2,4.5 m,83 km/h
15 kwi 26 13:27:56,2,5.2 m,81 km/h
15 kwi 26 13:28:27,1,8.7 m,38 km/h
15 kwi 26 13:33:33,1,8.4 m,14 km/h
15 kwi 26 13:36:42,2,8.7 m,62 km/h
15 kwi 26 13:37:31,1,4.0 m,64 km/h
15 kwi 26 13:37:42,2,13.6 m,60 km/h
15 kwi 26 13:38:48,2,4.8 m,75 km/h
15 kwi 26 13:40:04,1,1.3 m,23 km/h
15 kwi 26 13:41:01,1,4.1 m,66 km/h
15 kwi 26 13:41:09,2,4.2 m,61 km/h
15 kwi 26 13:42:10,2,4.5 m,77 km/h
15 kwi 26 13:48:14,2,4.2 m,71 km/h
15 kwi 26 13:48:57,2,4.9 m,73 km/h
15 kwi 26 13:49:12,1,4.3 m,78 km/h
15 kwi 26 13:49:15,1,3.4 m,63 km/h
15 kwi 26 13:49:35,1,4.5 m,68 km/h
15 kwi 26 13:51:11,1,3.8 m,67 km/h
15 kwi 26 13:53:22,2,4.3 m,83 km/h
15 kwi 26 13:54:00,1,7.7 m,82 km/h
15 kwi 26 13:54:34,1,3.6 m,67 km/h
15 kwi 26 13:54:42,2,3.9 m,42 km/h
15 kwi 26 14:00:30,1,4.9 m,60 km/h
15 kwi 26 14:01:13,1,4.6 m,59 km/h
15 kwi 26 14:02:43,1,5.9 m,64 km/h
15 kwi 26 14:04:02,1,4.4 m,70 km/h
15 kwi 26 14:05:08,2,10.2 m,25 km/h
15 kwi 26 14:05:15,1,6.4 m,53 km/h
15 kwi 26 14:05:31,2,6.2 m,54 km/h
15 kwi 26 14:06:06,1,3.4 m,87 km/h
15 kwi 26 14:06:45,1,4.3 m,69 km/h
15 kwi 26 14:09:44,1,4.9 m,59 km/h
15 kwi 26 14:11:58,1,4.9 m,51 km/h
15 kwi 26 14:12:11,1,2.8 m,70 km/h
15 kwi 26 14:12:51,1,3.9 m,83 km/h
15 kwi 26 14:19:50,1,10.2 m,51 km/h
15 kwi 26 14:21:15,2,4.1 m,69 km/h
15 kwi 26 14:22:30,1,4.3 m,85 km/h
15 kwi 26 14:23:28,2,4.3 m,95 km/h
15 kwi 26 14:24:25,2,3.9 m,60 km/h
15 kwi 26 14:26:13,2,3.9 m,100 km/h
15 kwi 26 14:34:45,1,4.5 m,75 km/h
15 kwi 26 14:36:03,1,3.8 m,85 km/h
15 kwi 26 14:38:18,2,3.5 m,83 km/h
15 kwi 26 14:39:43,1,4.3 m,67 km/h
